Examiner_ID	Pair_ID	Mating	Latent_Value	Compare_Value	Inconclusive_Reason	Exclusion_Reason	Difficulty
A0151	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A0194	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1260	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0284	N102438	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A1314	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2342	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A0437	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A4443	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4459	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6490	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A2002	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2009	N102438	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A3021	N102438	Non-mates	VID	Inconclusive	Close	NA	D_Difficult
A4029	N102438	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A2036	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5041	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6051	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2063	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A1071	N102438	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A3073	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A2090	N102438	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A4099	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1107	N102438	Non-mates	VID	Inconclusive	Overlap	NA	E_VeryDifficult
A5131	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4137	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6141	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3145	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5147	N102438	Non-mates	VEO	Inconclusive	Insufficient	NA	C_Medium
A6166	N102438	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A1177	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A2178	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5221	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4227	N102438	Non-mates	VID	Exclusion	NA	Pattern	B_Easy
A2243	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2268	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A6328	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1339	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A6355	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A0356	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1422	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0473	N102438	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5478	N102438	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3494	N102438	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A5104	N030028	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A4236	N030028	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1260	N030028	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0284	N030028	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1323	N030028	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0437	N030028	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A6490	N030028	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A0007	N030028	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A1008	N030028	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5014	N030028	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1044	N030028	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5084	N030028	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5113	N030028	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A2126	N030028	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A1159	N030028	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0185	N030028	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A2207	N030028	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2216	N030028	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A5289	N030028	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5354	N030028	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6409	N030028	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6411	N030028	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A1413	N030028	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0176	N348359	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1314	N348359	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A4317	N348359	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3415	N348359	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1438	N348359	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5480	N348359	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A6490	N348359	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5057	N348359	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A3118	N348359	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5122	N348359	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6229	N348359	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A0232	N348359	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2259	N348359	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A4308	N348359	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A5363	N348359	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A4378	N348359	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4387	N348359	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A1393	N348359	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4396	N348359	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3485	N348359	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4056	N333331	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0061	N333331	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5309	N333331	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A4317	N333331	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5417	N333331	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1438	N333331	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5480	N333331	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A2088	N333331	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2101	N333331	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A6114	N333331	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A4121	N333331	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A3179	N333331	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4198	N333331	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A1224	N333331	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3226	N333331	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A4362	N333331	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A2394	N333331	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4416	N333331	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A1447	N333331	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5469	N333331	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A6488	N333331	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A0491	N333331	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3055	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0061	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3102	N122437	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5104	N122437	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1125	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3127	N122437	Non-mates	VID	Exclusion	NA	Pattern	B_Easy
A4128	N122437	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A0151	N122437	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1260	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0284	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2295	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5309	N122437	Non-mates	VID	Exclusion	NA	Pattern	B_Easy
A5318	N122437	Non-mates	VID	Exclusion	NA	Pattern	A_Obvious
A1332	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A1341	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0383	N122437	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5410	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3415	N122437	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A5417	N122437	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A0437	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2450	N122437	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6006	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3019	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2020	N122437	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A1035	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0043	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3046	N122437	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A0059	N122437	Non-mates	VID	Inconclusive	Close	NA	C_Medium
A0115	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0124	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A1143	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A1161	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A4164	N122437	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4182	N122437	Non-mates	VID	Inconclusive	Insufficient	NA	D_Difficult
A0205	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3208	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5212	N122437	Non-mates	VID	Exclusion	NA	Pattern	A_Obvious
A1233	N122437	Non-mates	VID	Exclusion	NA	Pattern	B_Easy
A0241	N122437	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6247	N122437	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4263	N122437	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A0293	N122437	Non-mates	VEO	Exclusion	NA	Minutiae	A_Obvious
A6303	N122437	Non-mates	VID	Exclusion	NA	Pattern	A_Obvious
A6312	N122437	Non-mates	VID	Exclusion	NA	Pattern	C_Medium
A2351	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2358	N122437	Non-mates	VID	Exclusion	NA	Pattern	C_Medium
A6364	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3406	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0419	N122437	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1440	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5453	N122437	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A3460	N122437	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4461	N122437	Non-mates	VID	Exclusion	NA	Pattern	B_Easy
A6463	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2466	N122437	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A1125	N339344	Non-mates	VEO	Inconclusive	Overlap	NA	C_Medium
A4128	N339344	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A0176	N339344	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A1260	N339344	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A0437	N339344	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4459	N339344	Non-mates	VEO	Exclusion	NA	Minutiae	D_Difficult
A5480	N339344	Non-mates	VEO	Inconclusive	Insufficient	NA	D_Difficult
A3019	N339344	Non-mates	VEO	Exclusion	NA	Minutiae	B_Easy
A0043	N339344	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3046	N339344	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A1143	N339344	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4164	N339344	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A4182	N339344	Non-mates	VEO	Exclusion	NA	Minutiae	C_Medium
A0205	N339344	Non-mates	VID	Exclusion	NA	Minutiae	E_VeryDifficult
A0241	N339344	Non-mates	VID	Inconclusive	Overlap	NA	D_Difficult
A6247	N339344	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A0293	N339344	Non-mates	NV	NA	NA	NA	NA
A6312	N339344	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A2358	N339344	Non-mates	VID	Exclusion	NA	Pattern	C_Medium
A3406	N339344	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A0419	N339344	Non-mates	VEO	Exclusion	NA	Minutiae	D_Difficult
A3460	N339344	Non-mates	VEO	Inconclusive	Overlap	NA	D_Difficult
A4461	N339344	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A3102	M346354	Mates	VID	Inconclusive	Close	NA	C_Medium
A2135	M346354	Mates	VEO	Inconclusive	Overlap	NA	C_Medium
A0151	M346354	Mates	NV	NA	NA	NA	NA
A5309	M346354	Mates	VID	Inconclusive	Close	NA	C_Medium
A2342	M346354	Mates	NV	NA	NA	NA	NA
A5417	M346354	Mates	NV	NA	NA	NA	NA
A5014	M346354	Mates	VEO	Exclusion	NA	Pattern	C_Medium
A4029	M346354	Mates	VEO	Inconclusive	Overlap	NA	C_Medium
A1044	M346354	Mates	VID	Inconclusive	Overlap	NA	D_Difficult
A3073	M346354	Mates	VID	Inconclusive	Insufficient	NA	D_Difficult
A6166	M346354	Mates	VID	Inconclusive	Close	NA	B_Easy
A4182	M346354	Mates	NV	NA	NA	NA	NA
A0232	M346354	Mates	VID	Inconclusive	Close	NA	C_Medium
A6355	M346354	Mates	VEO	Inconclusive	Overlap	NA	D_Difficult
A1404	M346354	Mates	VID	Inconclusive	Close	NA	C_Medium
A3406	M346354	Mates	VEO	Inconclusive	Overlap	NA	C_Medium
A4416	M346354	Mates	NV	NA	NA	NA	NA
A6463	M346354	Mates	VEO	Inconclusive	Overlap	NA	C_Medium
A5469	M346354	Mates	VID	Exclusion	NA	Minutiae	C_Medium
A0491	M346354	Mates	VID	Inconclusive	Overlap	NA	C_Medium
A3127	M226196	Mates	VEO	Inconclusive	Overlap	NA	D_Difficult
A4128	M226196	Mates	VID	Inconclusive	Overlap	NA	C_Medium
A3172	M226196	Mates	VEO	Inconclusive	Overlap	NA	B_Easy
A0194	M226196	Mates	VEO	Inconclusive	Overlap	NA	C_Medium
A1323	M226196	Mates	VID	Inconclusive	Overlap	NA	C_Medium
A1332	M226196	Mates	VEO	Inconclusive	Overlap	NA	D_Difficult
A5417	M226196	Mates	VID	Inconclusive	Overlap	NA	C_Medium
A2450	M226196	Mates	VEO	Inconclusive	Overlap	NA	C_Medium
A2002	M226196	Mates	VID	Inconclusive	Overlap	NA	C_Medium
A2090	M226196	Mates	VID	Inconclusive	Insufficient	NA	D_Difficult
A3145	M226196	Mates	VID	Inconclusive	Overlap	NA	C_Medium
A5147	M226196	Mates	VEO	Inconclusive	Overlap	NA	B_Easy
A6166	M226196	Mates	VID	Inconclusive	Overlap	NA	B_Easy
A0232	M226196	Mates	VID	Inconclusive	Overlap	NA	B_Easy
A1233	M226196	Mates	VEO	Inconclusive	Insufficient	NA	D_Difficult
A4263	M226196	Mates	VEO	Inconclusive	Insufficient	NA	C_Medium
A2268	M226196	Mates	VID	Inconclusive	Overlap	NA	C_Medium
A6303	M226196	Mates	VEO	Inconclusive	Overlap	NA	B_Easy
A1339	M226196	Mates	VEO	Individualization	NA	NA	B_Easy
A2351	M226196	Mates	VID	Inconclusive	Overlap	NA	C_Medium
A4396	M226196	Mates	VEO	Inconclusive	Overlap	NA	C_Medium
A3485	M226196	Mates	VEO	Inconclusive	Overlap	NA	A_Obvious
A4128	N327322	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0176	N327322	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A6389	N327322	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A3415	N327322	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A2450	N327322	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5480	N327322	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A6490	N327322	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A2009	N327322	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3021	N327322	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4029	N327322	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2036	N327322	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5041	N327322	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2063	N327322	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3073	N327322	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A2090	N327322	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A1107	N327322	Non-mates	VID	Exclusion	NA	Pattern	A_Obvious
A2178	N327322	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5221	N327322	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A2243	N327322	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A2268	N327322	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A6328	N327322	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1339	N327322	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A0356	N327322	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A0473	N327322	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A5478	N327322	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A3091	N329326	Non-mates	NV	NA	NA	NA	NA
A5104	N329326	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4128	N329326	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A1260	N329326	Non-mates	VEO	Inconclusive	Overlap	NA	C_Medium
A6389	N329326	Non-mates	VID	Exclusion	NA	Pattern	D_Difficult
A1053	N329326	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A4065	N329326	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A1078	N329326	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6157	N329326	Non-mates	VEO	Inconclusive	Overlap	NA	D_Difficult
A4218	N329326	Non-mates	VEO	Exclusion	NA	Minutiae	D_Difficult
A5219	N329326	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A4281	N329326	Non-mates	VID	Inconclusive	Insufficient	NA	E_VeryDifficult
A5311	N329326	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A2367	N329326	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A3370	N329326	Non-mates	VEO	Exclusion	NA	Minutiae	B_Easy
A1375	N329326	Non-mates	VEO	Inconclusive	Insufficient	NA	E_VeryDifficult
A0403	N329326	Non-mates	VEO	Exclusion	NA	Minutiae	C_Medium
A1404	N329326	Non-mates	VEO	Exclusion	NA	Minutiae	D_Difficult
A3476	N329326	Non-mates	VID	Exclusion	NA	Pattern	C_Medium
A5104	N082376	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1125	N082376	Non-mates	VID	Inconclusive	Overlap	NA	C_Medium
A0176	N082376	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5318	N082376	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1323	N082376	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5410	N082376	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A3415	N082376	Non-mates	VEO	Inconclusive	Overlap	NA	C_Medium
A4443	N082376	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A2450	N082376	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5104	M020023	Mates	VID	Individualization	NA	NA	C_Medium
A3127	M020023	Mates	VEO	Inconclusive	Overlap	NA	C_Medium
A4236	M020023	Mates	VID	Individualization	NA	NA	C_Medium
A1314	M020023	Mates	VID	Individualization	NA	NA	A_Obvious
A3415	M020023	Mates	VID	Individualization	NA	NA	D_Difficult
A4443	M020023	Mates	VID	Individualization	NA	NA	C_Medium
A0007	M020023	Mates	VEO	Inconclusive	Overlap	NA	C_Medium
A2101	M020023	Mates	VID	Individualization	NA	NA	E_VeryDifficult
A5113	M020023	Mates	VID	Inconclusive	Insufficient	NA	E_VeryDifficult
A6157	M020023	Mates	VEO	Inconclusive	Overlap	NA	D_Difficult
A2216	M020023	Mates	VID	Individualization	NA	NA	C_Medium
A3226	M020023	Mates	VID	Individualization	NA	NA	E_VeryDifficult
A0241	M020023	Mates	VEO	Inconclusive	Insufficient	NA	D_Difficult
A6312	M020023	Mates	VID	Individualization	NA	NA	C_Medium
A5354	M020023	Mates	VID	Inconclusive	Insufficient	NA	D_Difficult
A2394	M020023	Mates	VID	Individualization	NA	NA	C_Medium
A1413	M020023	Mates	VID	Individualization	NA	NA	E_VeryDifficult
A4128	N125392	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1260	N125392	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A1314	N125392	Non-mates	VID	Exclusion	NA	Minutiae	D_Difficult
A5410	N125392	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5417	N125392	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A0437	N125392	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5480	N125392	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A2002	N125392	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6051	N125392	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A1071	N125392	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A4099	N125392	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A5131	N125392	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A4137	N125392	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6141	N125392	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A3145	N125392	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
A5147	N125392	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6166	N125392	Non-mates	VID	Exclusion	NA	Minutiae	A_Obvious
A1177	N125392	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A4227	N125392	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A6355	N125392	Non-mates	VID	Exclusion	NA	Minutiae	C_Medium
A1422	N125392	Non-mates	VID	Exclusion	NA	Minutiae	B_Easy
